INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'AZUL', 363, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 547, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 875, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'AMARELO', 1227, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 1571, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 1947, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'AZUL', 2355, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 2723, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 3083, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'AMARELO', 3427, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 3835, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 4187, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'AZUL', 4587, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 4971, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 5347, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'AMARELO', 5707, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 6091, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 6467, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'AZUL', 6827, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 7203, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 7587, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'AMARELO', 7955, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 8307, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'VERMELHO', 8699, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (7, 'AZUL', 9115, 1);
