INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERMELHO', 348, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AZUL', 1852, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AMARELO', 2580, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERDE', 3444, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERDE', 5004, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AMARELO', 5844, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERMELHO', 6748, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERMELHO', 8300, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AZUL', 9148, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AMARELO', 9996, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AZUL', 11676, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERDE', 12500, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERMELHO', 13356, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AZUL', 14996, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AMARELO', 15852, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERDE', 16660, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AMARELO', 18332, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AZUL', 19148, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERMELHO', 20004, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AMARELO', 21620, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AZUL', 22436, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERDE', 23284, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AMARELO', 24868, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERDE', 25724, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'VERMELHO', 26604, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (2, 'AZUL', 28236, 1);
