INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 272, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 1840, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 2536, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 3400, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 5048, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 5816, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 6688, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 8408, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 9152, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 10016, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 11672, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 12432, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 13288, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 14040, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 14184, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 14592, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 14760, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 15264, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 15328, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 15680, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 16008, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 16168, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 16384, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 16656, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 16936, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 17264, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 17448, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 17864, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 18064, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 18480, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 18576, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 18904, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 19264, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 19496, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 19696, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 19928, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 20264, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 20632, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 20800, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 21192, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 21384, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 21792, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 21912, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 22208, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 22544, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 22656, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 22928, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 23056, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 23296, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 23592, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 23896, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 24072, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 24488, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 24696, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 25152, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 25224, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 25544, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 25912, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 26112, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 26568, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 26880, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 27184, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 27376, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 28008, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 28320, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 28624, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 28920, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 29048, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 29264, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 29488, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 29712, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 29896, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 30192, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 30496, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AZUL', 30720, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 30912, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERDE', 31112, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 31376, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 31528, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 31760, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 32032, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'VERMELHO', 32312, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (10, 'AMARELO', 32504, 1);
