INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 2242, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 3018, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 3818, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 4786, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 6010, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 6530, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 7034, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 7490, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 7522, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 8162, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 8225, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 8898, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 10106, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 10482, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 11122, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 11442, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 12098, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 12610, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 12994, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 14090, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 15066, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 16122, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 16578, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 18130, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 19034, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 19834, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 20802, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 22034, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 22538, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 23034, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 23538, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 24050, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 24898, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 26050, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 26394, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 27066, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 27426, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 28090, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 28554, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 28922, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 29578, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 30050, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 30530, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 31042, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 31538, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 32050, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 32570, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 32818, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 34050, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 35154, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 35762, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 36266, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 36810, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 38050, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 38530, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 39026, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 39530, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 39842, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 40842, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 42050, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 43106, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 43802, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 44298, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 44778, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 45338, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 46074, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 46538, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 47042, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 47538, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 48026, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 48522, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 48770, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 50058, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 50610, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 51106, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 51578, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 52082, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 52546, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 53026, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 53530, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 54010, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 54538, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 55026, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 55506, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 56010, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 56498, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 57002, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 57570, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 58058, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 58562, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 59082, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 59562, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 60074, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 60570, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 61082, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 61554, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 62090, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 62338, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 62586, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 62849, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 63074, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 63322, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 63585, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 63834, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 64082, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 64321, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 64578, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 64793, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 65058, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 66050, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 66546, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 67058, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 67538, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 68050, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 68586, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 69049, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 69546, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 70041, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 70546, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 71058, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 71545, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 72074, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 72561, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 73049, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 73513, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 74034, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 74554, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 75066, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 75522, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 76049, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 76514, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 77010, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 77569, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 78098, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 78553, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 79049, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 79530, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 80057, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 80530, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 81049, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 81561, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 82049, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 82561, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 83017, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 83529, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 83777, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 84329, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 84545, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 84793, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 85330, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 85553, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 86065, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 86553, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 87089, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 87401, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 87817, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 88065, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 88577, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 89049, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 89529, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 90025, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 90450, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 91065, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 91393, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 92049, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 92354, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 92985, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 93345, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 94089, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 94561, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 95033, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 95578, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 96041, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 96577, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 97273, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 98081, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 98994, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 99737, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 100353, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 100849, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 101305, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 102057, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 102537, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 103025, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 103497, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 104281, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 104761, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 105257, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 106042, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 107065, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 107825, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 108313, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 108777, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 109337, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 110105, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 110553, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 111033, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AZUL', 111593, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERMELHO', 112089, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'AMARELO', 112577, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (4, 'VERDE', 113289, 1);
