INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 2253, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 2669, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 2829, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 3077, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 3309, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 3541, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 3837, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 4357, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 4573, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 4837, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 5349, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 5573, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 5837, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 6069, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 6613, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 7101, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 7453, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 7877, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 8109, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 8357, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 8613, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 8997, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 9381, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 9613, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 10117, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 10485, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 11125, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 11477, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 11853, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 12085, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 12349, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 12581, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 12861, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 12957, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 13373, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 13613, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 14109, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 14357, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 15205, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 15437, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 16165, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 16373, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 16677, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 16893, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 17597, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 17869, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 18117, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 18333, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 18749, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 19141, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 19525, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 19829, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 20373, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 20605, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 20853, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 21357, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 21589, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 21837, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 22077, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 22301, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 22565, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 22829, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 23077, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 23381, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 23629, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 23861, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 24349, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 24597, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 24925, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 25349, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 25613, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 25821, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 26061, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 26461, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 26845, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 27077, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 27461, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERMELHO', 27845, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AZUL', 28341, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'AMARELO', 28581, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (8, 'VERDE', 28949, 1);
